Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Requires Shipping,Variant Taxable,Status
highlighter-purple,"Highlighter Purple","<p>Highlighter Purple</p>",KlicknKart,Office Supplies,"Board & Markers","Board & Markers,stationery,office-supplies",true,Title,Default Title,highlighter-purple,shopify,100,deny,manual,0.00,true,true,active
double-side-tape-green,"Double Side Tape Green","<p>Double Side Tape Green</p>",KlicknKart,Office Supplies,"Tapes & Glue","Tapes & Glue,stationery,office-supplies",true,Title,Default Title,double-side-tape-green,shopify,100,deny,manual,0.00,true,true,active
double-side-tape-white,"Double Side Tape White","<p>Double Side Tape White</p>",KlicknKart,Office Supplies,"Tapes & Glue","Tapes & Glue,stationery,office-supplies",true,Title,Default Title,double-side-tape-white,shopify,100,deny,manual,0.00,true,true,active
cloth-tape-24mm,"Cloth Tape 24mm","<p>Cloth Tape 24mm</p>",KlicknKart,Office Supplies,"Tapes & Glue","Tapes & Glue,stationery,office-supplies",true,Title,Default Title,cloth-tape-24mm,shopify,100,deny,manual,0.00,true,true,active
cloth-tape-48mm,"Cloth Tape 48mm","<p>Cloth Tape 48mm</p>",KlicknKart,Office Supplies,"Tapes & Glue","Tapes & Glue,stationery,office-supplies",true,Title,Default Title,cloth-tape-48mm,shopify,100,deny,manual,0.00,true,true,active
cloth-tape-roll-small,"Cloth Tape Roll Small","<p>Cloth Tape Roll Small</p>",KlicknKart,Office Supplies,"Tapes & Glue","Tapes & Glue,stationery,office-supplies",true,Title,Default Title,cloth-tape-roll-small,shopify,100,deny,manual,0.00,true,true,active
duct-tape,"Duct Tape","<p>Duct Tape</p>",KlicknKart,Office Supplies,"Tapes & Glue","Tapes & Glue,stationery,office-supplies",true,Title,Default Title,duct-tape,shopify,100,deny,manual,0.00,true,true,active
cloth-tape-12mm,"Cloth Tape 12mm","<p>Cloth Tape 12mm</p>",KlicknKart,Office Supplies,"Tapes & Glue","Tapes & Glue,stationery,office-supplies",true,Title,Default Title,cloth-tape-12mm,shopify,100,deny,manual,0.00,true,true,active
gel-cleaner,"Gel Cleaner","<p>Gel Cleaner</p>",KlicknKart,Office Supplies,"Tapes & Glue","Tapes & Glue,stationery,office-supplies",true,Title,Default Title,gel-cleaner,shopify,100,deny,manual,0.00,true,true,active
glue-gun,"Glue Gun","<p>Glue Gun</p>",KlicknKart,Office Supplies,"Tapes & Glue","Tapes & Glue,stationery,office-supplies",true,Title,Default Title,glue-gun,shopify,100,deny,manual,0.00,true,true,active
stick-glue,"Stick Glue","<p>Stick Glue</p>",KlicknKart,Office Supplies,"Tapes & Glue","Tapes & Glue,stationery,office-supplies",true,Title,Default Title,stick-glue,shopify,100,deny,manual,0.00,true,true,active
glue-stick-uhu-large,"Glue Stick Uhu Large","<p>Glue Stick Uhu Large</p>",KlicknKart,Office Supplies,"Tapes & Glue","Tapes & Glue,stationery,office-supplies",true,Title,Default Title,glue-stick-uhu-large,shopify,100,deny,manual,0.00,true,true,active
scissor,"Scissor","<p>Scissor</p>",KlicknKart,Office Supplies,"Scissors & Pins","Scissors & Pins,stationery,office-supplies",true,Title,Default Title,scissor,shopify,100,deny,manual,0.00,true,true,active
scissor-large,"Scissor Large","<p>Scissor Large</p>",KlicknKart,Office Supplies,"Scissors & Pins","Scissors & Pins,stationery,office-supplies",true,Title,Default Title,scissor-large,shopify,100,deny,manual,0.00,true,true,active
cutter-l-500,"Cutter L-500","<p>Cutter L-500</p>",KlicknKart,Office Supplies,"Scissors & Pins","Scissors & Pins,stationery,office-supplies",true,Title,Default Title,cutter-l-500,shopify,100,deny,manual,0.00,true,true,active
deskset,"Deskset","<p>Deskset</p>",KlicknKart,Office Supplies,"Scissors & Pins","Scissors & Pins,stationery,office-supplies",true,Title,Default Title,deskset,shopify,100,deny,manual,0.00,true,true,active
magnet-pin-big,"Magnet Pin Big","<p>Magnet Pin Big</p>",KlicknKart,Office Supplies,"Scissors & Pins","Scissors & Pins,stationery,office-supplies",true,Title,Default Title,magnet-pin-big,shopify,100,deny,manual,0.00,true,true,active
magnet-pin-small,"Magnet Pin Small","<p>Magnet Pin Small</p>",KlicknKart,Office Supplies,"Scissors & Pins","Scissors & Pins,stationery,office-supplies",true,Title,Default Title,magnet-pin-small,shopify,100,deny,manual,0.00,true,true,active
push-pin,"Push Pin","<p>Push Pin</p>",KlicknKart,Office Supplies,"Scissors & Pins","Scissors & Pins,stationery,office-supplies",true,Title,Default Title,push-pin,shopify,100,deny,manual,0.00,true,true,active
document-tray-3-layers,"Document Tray 3 Layers","<p>Document Tray 3 Layers</p>",KlicknKart,Office Supplies,"Trays & Dispensers","Trays & Dispensers,stationery,office-supplies",true,Title,Default Title,document-tray-3-layers,shopify,100,deny,manual,0.00,true,true,active
organiser-desk-dispenser,"Organiser Desk Dispenser","<p>Organiser Desk Dispenser</p>",KlicknKart,Office Supplies,"Trays & Dispensers","Trays & Dispensers,stationery,office-supplies",true,Title,Default Title,organiser-desk-dispenser,shopify,100,deny,manual,0.00,true,true,active
ruler-circle-15cm,"Ruler Circle 15cm","<p>Ruler Circle 15cm</p>",KlicknKart,Office Supplies,"Rulers, Stamps & Tissue","Rulers, Stamps & Tissue,stationery,office-supplies",true,Title,Default Title,ruler-circle-15cm,shopify,100,deny,manual,0.00,true,true,active
ruler-triangle,"Ruler Triangle","<p>Ruler Triangle</p>",KlicknKart,Office Supplies,"Rulers, Stamps & Tissue","Rulers, Stamps & Tissue,stationery,office-supplies",true,Title,Default Title,ruler-triangle,shopify,100,deny,manual,0.00,true,true,active
stamp-ink,"Stamp Ink","<p>Stamp Ink</p>",KlicknKart,Office Supplies,"Rulers, Stamps & Tissue","Rulers, Stamps & Tissue,stationery,office-supplies",true,Title,Default Title,stamp-ink,shopify,100,deny,manual,0.00,true,true,active
stamp-pad,"Stamp Pad","<p>Stamp Pad</p>",KlicknKart,Office Supplies,"Rulers, Stamps & Tissue","Rulers, Stamps & Tissue,stationery,office-supplies",true,Title,Default Title,stamp-pad,shopify,100,deny,manual,0.00,true,true,active
tissue-box-passeo,"Tissue Box Passeo","<p>Tissue Box Passeo</p>",KlicknKart,Office Supplies,"Rulers, Stamps & Tissue","Rulers, Stamps & Tissue,stationery,office-supplies",true,Title,Default Title,tissue-box-passeo,shopify,100,deny,manual,0.00,true,true,active
tissue-box-nice,"Tissue Box Nice","<p>Tissue Box Nice</p>",KlicknKart,Office Supplies,"Rulers, Stamps & Tissue","Rulers, Stamps & Tissue,stationery,office-supplies",true,Title,Default Title,tissue-box-nice,shopify,100,deny,manual,0.00,true,true,active
hp-laserjet-p1102-toner,"HP LaserJet P1102 Toner","<p>HP LaserJet P1102 Toner</p>",KlicknKart,Office Supplies,"Printer Toners","Printer Toners,stationery,office-supplies",true,Title,Default Title,hp-laserjet-p1102-toner,shopify,100,deny,manual,0.00,true,true,active
ricoh-mp-2014d-toner,"RICOH MP 2014D Toner","<p>RICOH MP 2014D Toner</p>",KlicknKart,Office Supplies,"Printer Toners","Printer Toners,stationery,office-supplies",true,Title,Default Title,ricoh-mp-2014d-toner,shopify,100,deny,manual,0.00,true,true,active
kyocera-ecosys-m3040idn-toner,"Kyocera ECOsys M3040idn Toner","<p>Kyocera ECOsys M3040idn Toner</p>",KlicknKart,Office Supplies,"Printer Toners","Printer Toners,stationery,office-supplies",true,Title,Default Title,kyocera-ecosys-m3040idn-toner,shopify,100,deny,manual,0.00,true,true,active
hp-laserjet-p2025-ce505a-toner,"HP LaserJet P2025 (CE505A) Toner","<p>HP LaserJet P2025 (CE505A) Toner</p>",KlicknKart,Office Supplies,"Printer Toners","Printer Toners,stationery,office-supplies",true,Title,Default Title,hp-laserjet-p2025-ce505a-toner,shopify,100,deny,manual,0.00,true,true,active
hp-deskjet-6943-ink,"HP Deskjet 6943 Ink","<p>HP Deskjet 6943 Ink</p>",KlicknKart,Office Supplies,"Printer Toners","Printer Toners,stationery,office-supplies",true,Title,Default Title,hp-deskjet-6943-ink,shopify,100,deny,manual,0.00,true,true,active
hp-deskjet-6943-toner,"HP Deskjet 6943 Toner","<p>HP Deskjet 6943 Toner</p>",KlicknKart,Office Supplies,"Printer Toners","Printer Toners,stationery,office-supplies",true,Title,Default Title,hp-deskjet-6943-toner,shopify,100,deny,manual,0.00,true,true,active
